stcc2,date,actual,pred_xgb,baseline_seasonal,baseline_persistence,n_train
32,2021-03-01,4.384079,4.13116455078125,4.219276,3.62147,218
32,2021-04-01,4.727283,4.205250263214111,4.017535,4.384079,219
32,2021-05-01,4.835886,4.463529586791992,4.12316,4.727283,220
32,2021-06-01,5.215995,4.747849464416504,4.307849,4.835886,221
32,2021-07-01,5.113243,5.0154595375061035,4.606572,5.215995,222
32,2021-08-01,5.05055,5.184211730957031,4.330279,5.113243,223
32,2021-09-01,4.849141,4.832017421722412,4.653314,5.05055,224
32,2021-10-01,5.01113,4.832590579986572,4.770568,4.849141,225
32,2021-11-01,4.794074,4.268614292144775,4.484423,5.01113,226
32,2021-12-01,4.248243,4.139429569244385,3.807214,4.794074,227
32,2022-01-01,4.000088,4.1872687339782715,3.99157,4.248243,228
32,2022-02-01,3.819919,3.804166078567505,3.62147,4.000088,229
32,2022-03-01,4.608586,4.129703044891357,4.384079,3.819919,230
32,2022-04-01,4.619489,4.557244300842285,4.727283,4.608586,231
32,2022-05-01,4.748331,4.800739765167236,4.835886,4.619489,232
32,2022-06-01,4.959831,4.8948750495910645,5.215995,4.748331,233
32,2022-07-01,4.646333,4.983648777008057,5.113243,4.959831,234
32,2022-08-01,4.91819,5.136593341827393,5.05055,4.646333,235
32,2022-09-01,4.843738,4.842894554138184,4.849141,4.91819,236
32,2022-10-01,4.988455,4.825756549835205,5.01113,4.843738,237
32,2022-11-01,4.552994,4.526808261871338,4.794074,4.988455,238
32,2022-12-01,3.801278,4.142912864685059,4.248243,4.552994,239
32,2023-01-01,3.944698,3.9488275051116943,4.000088,3.801278,240
32,2023-02-01,3.790015,3.765186071395874,3.819919,3.944698,241
32,2023-03-01,4.437854,4.320113182067871,4.608586,3.790015,242
32,2023-04-01,4.159577,4.577301979064941,4.619489,4.437854,243
32,2023-05-01,4.66929,4.381490230560303,4.748331,4.159577,244
32,2023-06-01,4.885369,4.739490032196045,4.959831,4.66929,245
32,2023-07-01,4.554875,4.958524703979492,4.646333,4.885369,246
32,2023-08-01,4.922082,4.843755722045898,4.91819,4.554875,247
32,2023-09-01,4.658772,4.740779876708984,4.843738,4.922082,248
32,2023-10-01,4.636644,4.946343421936035,4.988455,4.658772,249
32,2023-11-01,4.43514,4.539751052856445,4.552994,4.636644,250
32,2023-12-01,4.019193,3.9775617122650146,3.801278,4.43514,251
32,2024-01-01,2.9287,3.9937682151794434,3.944698,4.019193,252
32,2024-02-01,4.079527,3.652721405029297,3.790015,2.9287,253
32,2024-03-01,4.247788,4.236064434051514,4.437854,4.079527,254
32,2024-04-01,4.856398,4.435550212860107,4.159577,4.247788,255
32,2024-05-01,4.792705,4.617198467254639,4.66929,4.856398,256
32,2024-06-01,4.591827,5.062696933746338,4.885369,4.792705,257
32,2024-07-01,4.680488,4.701348781585693,4.554875,4.591827,258
32,2024-08-01,4.808145,4.8539605140686035,4.922082,4.680488,259
32,2024-09-01,4.755109,4.680418491363525,4.658772,4.808145,260
32,2024-10-01,5.164575,4.683258533477783,4.636644,4.755109,261
32,2024-11-01,4.444677,4.4508867263793945,4.43514,5.164575,262
32,2024-12-01,4.115346,4.057188987731934,4.019193,4.444677,263
33,2019-01-01,4.462615,4.695950031280518,4.719746,4.853012,192
33,2019-02-01,4.277246,5.070937633514404,4.097183,4.462615,193
33,2019-03-01,4.707949,4.833612442016602,5.207718,4.277246,194
33,2019-04-01,5.110419,4.741929054260254,5.026505,4.707949,195
33,2019-05-01,4.885364,4.966722011566162,5.543903,5.110419,196
33,2019-06-01,4.205474,5.146193981170654,5.078723,4.885364,197
33,2019-07-01,5.141259,4.9650468826293945,5.195108,4.205474,198
33,2019-08-01,4.604516,5.014040946960449,5.257976,5.141259,199
33,2019-09-01,4.279617,4.749387264251709,5.074106,4.604516,200
33,2019-10-01,4.430356,4.935866355895996,5.1277,4.279617,201
33,2019-11-01,3.527082,4.343620777130127,4.570604,4.430356,202
33,2019-12-01,4.171059,3.936424970626831,4.853012,3.527082,203
33,2020-01-01,4.431615,4.484219551086426,4.462615,4.171059,204
33,2020-02-01,4.437917,4.192777156829834,4.277246,4.431615,205
33,2020-03-01,4.978303,4.376127243041992,4.707949,4.437917,206
33,2020-04-01,3.913537,5.199329853057861,5.110419,4.978303,207
33,2020-05-01,3.206245,4.371819019317627,4.885364,3.913537,208
33,2020-06-01,3.215098,3.2483105659484863,4.205474,3.206245,209
33,2020-07-01,3.546058,3.4422733783721924,5.141259,3.215098,210
33,2020-08-01,4.001449,3.519627809524536,4.604516,3.546058,211
33,2020-09-01,4.060079,3.780367136001587,4.279617,4.001449,212
33,2020-10-01,3.936137,4.22504186630249,4.430356,4.060079,213
33,2020-11-01,3.694568,3.871009111404419,3.527082,3.936137,214
33,2020-12-01,4.024987,3.9796383380889893,4.171059,3.694568,215
33,2021-01-01,4.490804,4.043309211730957,4.431615,4.024987,216
33,2021-02-01,3.979523,4.333993911743164,4.437917,4.490804,217
33,2021-03-01,5.052004,3.9947681427001953,4.978303,3.979523,218
33,2021-04-01,4.975507,4.78184175491333,3.913537,5.052004,219
33,2021-05-01,5.030888,5.261542797088623,3.206245,4.975507,220
33,2021-06-01,4.938356,4.953784465789795,3.215098,5.030888,221
33,2021-07-01,4.843251,4.653308391571045,3.546058,4.938356,222
33,2021-08-01,5.229236,4.790399551391602,4.001449,4.843251,223
33,2021-09-01,4.84578,5.023231029510498,4.060079,5.229236,224
33,2021-10-01,4.854938,4.889429092407227,3.936137,4.84578,225
33,2021-11-01,4.496644,4.534400463104248,3.694568,4.854938,226
33,2021-12-01,4.328814,4.714576244354248,4.024987,4.496644,227
33,2022-01-01,4.575635,4.30320405960083,4.490804,4.328814,228
33,2022-02-01,4.328808,4.436722278594971,3.979523,4.575635,229
33,2022-03-01,4.774462,4.803990840911865,5.052004,4.328808,230
33,2022-04-01,4.739687,4.476125717163086,4.975507,4.774462,231
33,2022-05-01,4.534227,4.801408290863037,5.030888,4.739687,232
33,2022-06-01,4.411225,4.755807876586914,4.938356,4.534227,233
33,2022-07-01,4.460849,4.538643836975098,4.843251,4.411225,234
33,2022-08-01,4.741205,4.270294666290283,5.229236,4.460849,235
33,2022-09-01,4.404005,4.292865753173828,4.84578,4.741205,236
33,2022-10-01,4.242919,4.436169624328613,4.854938,4.404005,237
33,2022-11-01,3.991428,4.2263383865356445,4.496644,4.242919,238
33,2022-12-01,4.12418,4.2335357666015625,4.328814,3.991428,239
33,2023-01-01,4.590175,4.4345703125,4.575635,4.12418,240
33,2023-02-01,4.251708,4.226278305053711,4.328808,4.590175,241
33,2023-03-01,4.771186,4.802510738372803,4.774462,4.251708,242
33,2023-04-01,4.468845,4.583563327789307,4.739687,4.771186,243
33,2023-05-01,4.748511,4.531371593475342,4.534227,4.468845,244
